directory+filename,painting title,year of painting,style
abstract-expressionism/kline/1950-chief.jpg,chief,1950,abstract-expressionism
abstract-expressionism/kline/1954-number-2.jpg,number 2,1954,abstract-expressionism
abstract-expressionism/kline/1955-white-forms.jpg,white forms,1955,abstract-expressionism
abstract-expressionism/kline/1961-le-gros.jpg,le gros,1961,abstract-expressionism
abstract-expressionism/kline/1961-meryon.jpg,meryon,1961,abstract-expressionism
abstract-expressionism/kooning/1952-untitled-v.jpg,untitled v,1952,abstract-expressionism
abstract-expressionism/kooning/1955-interchange.jpg,interchange,1955,abstract-expressionism
abstract-expressionism/kooning/1955-police-gazette.jpg,police gazette,1955,abstract-expressionism
abstract-expressionism/kooning/1958-untitled.jpg,untitled,1958,abstract-expressionism
abstract-expressionism/kooning/1960-a-tree-in-naples.jpg,a tree in naples,1960,abstract-expressionism
abstract-expressionism/krasner/1940-seated-nude.jpg,seated nude,1940,abstract-expressionism
abstract-expressionism/krasner/1947-noon.jpg,noon,1947,abstract-expressionism
abstract-expressionism/krasner/1965-night-creatures.jpg,night creatures,1965,abstract-expressionism
abstract-expressionism/krasner/1966-gaea.jpg,gaea,1966,abstract-expressionism
abstract-expressionism/krasner/1972-rising-green.jpg,rising green,1972,abstract-expressionism
abstract-expressionism/pollock/1938-the-flame.jpg,the flame,1938,abstract-expressionism
abstract-expressionism/pollock/1943-mural.jpg,mural,1943,abstract-expressionism
abstract-expressionism/pollock/1943-there-were-seven-in-eight.jpg,there were seven in eight,1943,abstract-expressionism
abstract-expressionism/pollock/1947-full-fathom-five.jpg,full fathom five,1947,abstract-expressionism
abstract-expressionism/pollock/1947-reflection-of-the-big-dipper.jpg,reflection of the big dipper,1947,abstract-expressionism
abstract-expressionism/pollock/1947-sea-change.jpg,sea change,1947,abstract-expressionism
abstract-expressionism/pollock/1948-number-1.jpg,number 1,1948,abstract-expressionism
abstract-expressionism/pollock/1950-autumn-rhythm.jpg,autumn rhythm,1950,abstract-expressionism
abstract-expressionism/pollock/1950-mural-on-indian-red-ground.jpg,mural on indian red ground,1950,abstract-expressionism
abstract-expressionism/pollock/1950-number-one.jpg,number one,1950,abstract-expressionism
abstract-expressionism/rothko/1949-magenta-black-green-on-orange.jpg,magenta black green on orange,1949,abstract-expressionism
abstract-expressionism/rothko/1949-number-5.jpg,number 5,1949,abstract-expressionism
abstract-expressionism/rothko/1949-untitled.jpg,untitled,1949,abstract-expressionism
abstract-expressionism/rothko/1949-violet-black-orange-yellow-on-white-and-red.jpg,violet black orange yellow on white and red,1949,abstract-expressionism
abstract-expressionism/rothko/1950-white-center.jpg,white center,1950,abstract-expressionism
abstract-expressionism/rothko/1953-purple-white-and-red.jpg,purple white and red,1953,abstract-expressionism
abstract-expressionism/rothko/1953-untitled.jpg,untitled,1953,abstract-expressionism
abstract-expressionism/rothko/1954-ochre-and-red-on-red.jpg,ochre and red on red,1954,abstract-expressionism
abstract-expressionism/rothko/1956-green-and-tangerine-on-red.jpg,green and tangerine on red,1956,abstract-expressionism
abstract-expressionism/rothko/1958-black-on-maroon.jpg,black on maroon,1958,abstract-expressionism
analytical-cubism/braque/1909-Fruit-Dish.jpg,fruit dish,1909,analytical-cubism
analytical-cubism/braque/1909-Glass-on-a-table.jpg,glass on a table,1909,analytical-cubism
analytical-cubism/braque/1909-Harbour-in-normandy.jpg,harbour in normandy,1909,analytical-cubism
analytical-cubism/braque/1909-the-city-on-the-hill.jpg,the city on the hill,1909,analytical-cubism
analytical-cubism/braque/1910-La-guitare-(Mandora).jpg,la guitare (mandora),1910,analytical-cubism
analytical-cubism/braque/1910-Le-Sacre-Coeur.jpg,le sacre coeur,1910,analytical-cubism
analytical-cubism/braque/1910-Pitcher-and-violin.jpg,pitcher and violin,1910,analytical-cubism
analytical-cubism/braque/1910-violin-and-candlestick.jpg,violin and candlestick,1910,analytical-cubism
analytical-cubism/braque/1911-the-portuguese.jpg,the portuguese,1911,analytical-cubism
analytical-cubism/braque/1912-bottles-and-fishes.jpg,bottles and fishes,1912,analytical-cubism
analytical-cubism/gleizes/1911-Portrait-de-Jacques-Nayral.jpg,portrait de jacques nayral,1911,analytical-cubism
analytical-cubism/gleizes/1911-the-chase.jpg,the chase,1911,analytical-cubism
analytical-cubism/gleizes/1912-man-on-a-balcony.jpg,man on a balcony,1912,analytical-cubism
analytical-cubism/gleizes/1913-football-players.jpg,football players,1913,analytical-cubism
analytical-cubism/gleizes/1914-woman-with-animals.jpg,woman with animals,1914,analytical-cubism
analytical-cubism/gris/1912-bottles-and-knife.jpg,bottles and knife,1912,analytical-cubism
analytical-cubism/gris/1912-portrait-of-pablo-picasso.jpg,portrait of pablo picasso,1912,analytical-cubism
analytical-cubism/gris/1912-portrait-of-the-artists-mother.jpg,portrait of the artists mother,1912,analytical-cubism
analytical-cubism/gris/1912-still-life-with-flowers.jpg,still life with flowers,1912,analytical-cubism
analytical-cubism/gris/1912-still-life-with-oil-lamp.jpg,still life with oil lamp,1912,analytical-cubism
analytical-cubism/metzinger/1911-Le-goûter-(Tea-Time).png,le goûter (tea time),1911,analytical-cubism
analytical-cubism/metzinger/1911-Nature-morte.jpg,nature morte,1911,analytical-cubism
analytical-cubism/metzinger/1912-Femme-au-chapeau-rose-et-collier-de-perles.jpg,femme au chapeau rose et collier de perles,1912,analytical-cubism
analytical-cubism/metzinger/1912-woman-with-a-fan.jpg,woman with a fan,1912,analytical-cubism
analytical-cubism/metzinger/1913-L'Oiseau-bleu-(The-Blue-Bird).jpg,l'oiseau bleu (the blue bird),1913,analytical-cubism
analytical-cubism/picasso/392_girl-with-mandolin-fanny-tellier-1910.jpg,girl with mandolin fanny tellier,1910,analytical-cubism
analytical-cubism/picasso/395_portrait-of-ambroise-vollard-1910.jpg,portrait of ambroise vollard,1910,analytical-cubism
analytical-cubism/picasso/396_portrait-of-daniel-henry-kahnweiler-1910.jpg,portrait of daniel henry kahnweiler,1910,analytical-cubism
analytical-cubism/picasso/397_seated-female-nude-1910.jpg,seated female nude,1910,analytical-cubism
analytical-cubism/picasso/399_portrait-of-wilhelm-uhde-1910.jpg,portrait of wilhelm uhde,1910,analytical-cubism
analytical-cubism/picasso/404_man-with-a-guitar-1911-1.jpg,man with a guitar 1,1911,analytical-cubism
analytical-cubism/picasso/406_poet-1911.jpg,poet,1911,analytical-cubism
analytical-cubism/picasso/408_still-life-with-bottle-of-rum-1911.jpg,still life with bottle of rum,1911,analytical-cubism
analytical-cubism/picasso/411_the-piano-accordionist-1911.jpg,the piano accordionist,1911,analytical-cubism
