filename,title,year
0_the-picador-1890.jpg,the picador,1890
1000_smoke-over-vallauris-1951.jpg,smoke over vallauris,1951
1001_girl-in-chair-1952.jpg,girl in chair,1952
1002_mediterranean-landscape-1952.jpg,mediterranean landscape,1952
1003_breakfast-1953.jpg,breakfast,1953
1004_child-playing-in-camomilles-1953.jpg,child playing in camomilles,1953
1005_mother-and-child-1953.jpg,mother and child,1953
1006_plat-ovale-1953.jpg,plat ovale,1953
1007_seated-woman-1953.jpg,seated woman,1953
1008_the-shadow-1953.jpg,the shadow,1953
1009_woman-reading-1953.jpg,woman reading,1953
100_woman-with-cap-1901.jpg,woman with cap,1901
1010_woman-sitting-in-an-armchair-1953.jpg,woman sitting in an armchair,1953
1012_dancer-1954.jpg,dancer,1954
1013_jacqueline-with-flowers-1954.jpg,jacqueline with flowers,1954
1014_jug-with-handle-1954.jpg,jug with handle,1954
1015_portrait-of-jacqueline-roque-with-her-hands-crossed-1954.jpg,portrait of jacqueline roque with her hands crossed,1954
1016_portrait-of-sylvette-david-1954.jpg,portrait of sylvette david,1954
1017_portrait-of-sylvette-david-1954-1.jpg,portrait of sylvette david,1954
1018_portrait-of-sylvette-david-1954-2.jpg,portrait of sylvette david,1954
101_woman-with-chignon-1901.jpg,woman with chignon,1901
1020_portrait-of-sylvette-david-in-green-chair-1954.jpg,portrait of sylvette david in green chair,1954
1021_reclining-woman-1954.jpg,reclining woman,1954
1022_untitled-1954.jpg,untitled,1954
1023_algerian-women-1955.jpg,algerian women,1955
1024_algerian-women-delacroix-1955.jpg,algerian women delacroix,1955
1025_bullfighting-scene-the-picador-raised-1955.jpg,bullfighting scene the picador raised,1955
1026_bullfighting-scene-the-torero-is-raised-1955.jpg,bullfighting scene the torero is raised,1955
1027_jacqueline-in-turkish-costume-1955.jpg,jacqueline in turkish costume,1955
1028_lying-naked-woman-1955.jpg,lying naked woman,1955
1029_lying-naked-woman-1955-1.jpg,lying naked woman,1955
102_woman-with-feathered-hat-1901.jpg,woman with feathered hat,1901
1030_lying-naked-woman-the-voyeurs-1955.jpg,lying naked woman the voyeurs,1955
1031_nude-woman-with-turkish-bonnet-1955.jpg,nude woman with turkish bonnet,1955
1032_still-life-on-the-dresser-1955.jpg,still life on the dresser,1955
1033_the-beach-in-garoupe-1955.jpg,the beach in garoupe,1955
1034_the-beach-in-garoupe-1955-1.jpg,the beach in garoupe,1955
1035_untitled-1955.jpg,untitled,1955
1036_women-of-algiers-1955.jpg,women of algiers,1955
1037_don-quixote-1955.jpg,don quixote,1955
1038_armchair-california-1956.jpg,armchair california,1956
1039_crouching-female-nude-1956.jpg,crouching female nude,1956
103_woman-with-hat-1901.jpg,woman with hat,1901
1040_female-nude-near-the-garden-1956.jpg,female nude near the garden,1956
1041_interior-with-girl-drawing-1956.jpg,interior with girl drawing,1956
1042_jacqueline-at-the-studio-1956.jpg,jacqueline at the studio,1956
1043_man-and-woman-on-the-beach-1956.jpg,man and woman on the beach,1956
1044_naked-woman-in-rocking-chair-1956.jpg,naked woman in rocking chair,1956
1045_spring-1956.jpg,spring,1956
1046_studio-of-california-in-cannes-1956.jpg,studio of california in cannes,1956
1047_two-women-on-the-beach-1956.jpg,two women on the beach,1956
1048_woman-in-the-studio-1956.jpg,woman in the studio,1956
1049_seated-woman-with-red-hat-1956.jpg,seated woman with red hat,1956
104_woman-with-jewelery-1901.jpg,woman with jewelery,1901
1050_dance-of-fauns-1957.jpg,dance of fauns,1957
1051_las-meninas-velazquez-1957.jpg,las meninas velazquez,1957
1052_las-meninas-velazquez-1957-1.jpg,las meninas velazquez,1957
1053_las-meninas-velazquez-1957-2.jpg,las meninas velazquez,1957
1054_las-meninas-velazquez-1957-3.jpg,las meninas velazquez,1957
1055_las-meninas-velazquez-1957-4.jpg,las meninas velazquez,1957
1056_las-meninas-velazquez-1957-5.jpg,las meninas velazquez,1957
1057_las-meninas-velazquez-1957-6.jpg,las meninas velazquez,1957
1058_maria-agustina-sarmiento-velazquez-1957.jpg,maria agustina sarmiento velazquez,1957
1059_portrait-of-jacqueline-1957.jpg,portrait of jacqueline,1957
105_woman-with-necklace-of-gems-1901.jpg,woman with necklace of gems,1901
1060_studio-pigeons-velazquez-1957.jpg,studio pigeons velazquez,1957
1061_studio-pigeons-velazquez-1957-1.jpg,studio pigeons velazquez,1957
1062_studio-pigeons-velazquez-1957-2.jpg,studio pigeons velazquez,1957
1063_studio-pigeons-velazquez-1957-3.jpg,studio pigeons velazquez,1957
1064_the-piano-velazquez-1957.jpg,the piano velazquez,1957
1066_man-and-woman-1958.jpg,man and woman,1958
1067_nude-gathering-flowers-1958.jpg,nude gathering flowers,1958
1068_two-seated-women-1958.jpg,two seated women,1958
1069_untitled-1958.jpg,untitled,1958
106_women-in-the-loge-1901.jpg,women in the loge,1901
1070_untitled-1958-1.jpg,untitled,1958
1072_bacchanale-au-taureau-noir-1959.jpg .jpg,bacchanale au taureau noir,1959
1073_bobo-velazquez-murillo-1959.jpg,bobo velazquez murillo,1959
1074_buffet-henry-ii-and-armchair-with-dog-1959.jpg,buffet henry ii and armchair with dog,1959
1075_crouching-female-nude-1959.jpg,crouching female nude,1959
1076_lying-female-nude-under-the-pine-tree-1959.jpg,lying female nude under the pine tree,1959
1077_seated-female-nude-1959.jpg,seated female nude,1959
1078_the-dining-room-of-vauvenargues-1959.jpg,the dining room of vauvenargues,1959
1079_le-dejeuner-sur-l-herbe-d-apres-manet-1960.jpg,le dejeuner sur l herbe d apres manet,1960
1080_fish-chowder-1960.jpg,fish chowder,1960
1081_naked-woman-on-the-beach-and-shovel-1960.jpg,naked woman on the beach and shovel,1960
1082_reclining-woman-reading-1960.jpg,reclining woman reading,1960
1083_seated-woman-1960.jpg,seated woman,1960
1084_seated-woman-jacqueline-1960.jpg,seated woman jacqueline,1960
1085_studio-pigeons-perch-1960.jpg,studio pigeons perch,1960
1086_woman-in-armchair-1960.jpg,woman in armchair,1960
1087_luncheon-on-the-grass-1961.jpg,luncheon on the grass,1961
1088_the-luncheon-on-the-grass-1961.jpg,the luncheon on the grass,1961
1089_women-s-toilette-1961.jpg,women s toilette,1961
1091_femme-au-chien-1962.jpeg,femme au chien,1962
1092_bearded-man-1962.jpg,bearded man,1962
1093_bust-of-woman-with-yellow-ribbon-jacqueline-1962.jpg,bust of woman with yellow ribbon jacqueline,1962
1094_danae-1962.jpg,danae,1962
1095_still-life-with-cat-and-lobster-1962.jpg,still life with cat and lobster,1962
1096_the-abduction-of-sabines-1962.jpg,the abduction of sabines,1962
1097_the-abduction-of-sabines-1962-1.jpg,the abduction of sabines,1962
1098_the-luncheon-on-the-grass-1962.jpg,the luncheon on the grass,1962
1099_woman-sitting-in-an-armchair-1962.jpg,woman sitting in an armchair,1962
10_artist-s-mother-1896.jpg,artist s mother,1896
1100_woman-sitting-in-blue-armchair-1962.jpg,woman sitting in blue armchair,1962
1101_woman-with-hat-1962.jpg,woman with hat,1962
1102_woman-with-hat-1962-1.jpg,woman with hat,1962
1103_an-artist-1963.jpg,an artist,1963
1104_painter-and-his-model-1963.jpg,painter and his model,1963
1105_painter-and-his-model-1963-1.jpg,painter and his model,1963
1106_painter-and-his-model-1963-2.jpg,painter and his model,1963
1107_the-abduction-of-sabines-1963.jpg,the abduction of sabines,1963
1109_female-nude-sitting-in-the-armchair-1964.jpg,female nude sitting in the armchair,1964
110_blue-nude-1902.jpg .jpg,blue nude,1902
1110_jacqueline-sitting-with-her-cat-1964.jpg,jacqueline sitting with her cat,1964
1111_lying-female-nude-1964.jpg,lying female nude,1964
1112_lying-female-nude-1964-1.jpg,lying female nude,1964
1113_lying-female-nude-1964-2.jpg,lying female nude,1964
1114_lying-female-nude-playing-with-cat-1964.jpg,lying female nude playing with cat,1964
1115_lying-female-nude-playing-with-cat-1964-1.jpg,lying female nude playing with cat,1964
1116_lying-female-nude-with-cat-1964.jpg,lying female nude with cat,1964
1117_portrait-de-femme-en-buste-1924.jpg .jpg,portrait de femme en buste,1924
1118_bust-of-woman-1965.jpg,bust of woman,1965
1119_drawing-nude-seated-in-armchair-1965.jpg,drawing nude seated in armchair,1965
1120_family-1965.jpg,family,1965
1121_seated-man-self-portrait-1965.jpg,seated man self portrait,1965
1122_the-aubade-1965.jpg,the aubade,1965
1123_the-sleepers-1965.jpg,the sleepers,1965
1124_untitled-1966.jpg,untitled,1966
1125_woman-with-bird-1966.jpg,woman with bird,1966
1126_an-artist-1967.jpg,an artist,1967
1127_female-nude-with-man-s-head-1967.jpg,female nude with man s head,1967
1128_man-with-lamb-man-eating-watermelon-and-flutist-1967.jpg,man with lamb man eating watermelon and flutist,1967
1129_naked-man-and-woman-1967.jpg,naked man and woman,1967
112_advertisement-for-lecitina-agell-1902.jpg,advertisement for lecitina agell,1902
1130_naked-woman-and-musketeer-1967.jpg,naked woman and musketeer,1967
1131_painter-and-his-palette-1967.jpg,painter and his palette,1967
1132_seated-man-playing-flute-1967.jpg,seated man playing flute,1967
1133_two-women-on-the-beach-1967.jpg,two women on the beach,1967
1134_untitled-1967.jpg,untitled,1967
1135_man-with-pipe-1968.jpg,man with pipe,1968
1136_musketeer-with-pipe-1968.jpg,musketeer with pipe,1968
1137_standing-female-nude-and-man-with-pipe-1968.jpg,standing female nude and man with pipe,1968
1138_the-man-with-a-pipe-1968.jpg,the man with a pipe,1968
1139_untitled-1968.jpg,untitled,1968
113_crouching-beggar-1902.jpg,crouching beggar,1902
1140_big-heads-1969.jpg,big heads,1969
1141_matador-1970.jpg,matador,1970
1142_matador-and-female-nude-1970.jpg,matador and female nude,1970
1143_musketeer-1970.jpg,musketeer,1970
1144_reclining-nude-with-wreath-1970.jpg,reclining nude with wreath,1970
1145_seated-old-man-1970.jpg,seated old man,1970
1146_the-eight-names-of-picasso-1970.jpg,the eight names of picasso,1970
1147_untitled-1970.jpg,untitled,1970
1148_untitled-1970-1.jpg,untitled,1970
1149_untitled-1970-2.jpg,untitled,1970
114_crouching-woman-1902.jpg,crouching woman,1902
1150_woman-with-bird-1970.jpg,woman with bird,1970
1151_bust-of-woman-1971.jpg,bust of woman,1971
1152_crouching-man-1971.jpg,crouching man,1971
1153_embrace-1971.jpg,embrace,1971
1154_head-of-a-man-with-straw-hat-1971.jpg,head of a man with straw hat,1971
